Date,Year,Month,Day,Shift,TACC Sorties,High Priority Sorties,Flying Hours,Cargo (Stons),Passengers
3/18/13,2013,3,18,Swings,,,,,
3/18/13,2013,3,18,Mids,,,,,
3/19/13,2013,3,19,Day,,,,,
3/19/13,2013,3,19,Swings,,,,,
3/19/13,2013,3,19,Mids,,,,,
3/20/13,2013,3,20,Day,,,,,
3/20/13,2013,3,20,Swings,,,,,
3/20/13,2013,3,20,Mids,,,,,
3/21/13,2013,3,21,Day,,,,,
3/21/13,2013,3,21,Swings,,,,,
3/21/13,2013,3,21,Mids,,,,,
3/22/13,2013,3,22,Day,,,,,
3/22/13,2013,3,22,Swings,,,,,
3/22/13,2013,3,22,Mids,,,,,
3/23/13,2013,3,23,Day,,,,,
3/23/13,2013,3,23,Swings,,,,,
3/23/13,2013,3,23,Mids,,,,,
3/24/13,2013,3,24,Day,,,,,
3/24/13,2013,3,24,Swings,,,,,
3/24/13,2013,3,24,Mids,,,,,
3/25/13,2013,3,25,Day,,,,,
3/25/13,2013,3,25,Swings,,,,,
3/25/13,2013,3,25,Mids,,,,,
3/26/13,2013,3,26,Day,,,,,
3/26/13,2013,3,26,Swings,,,,,
3/26/13,2013,3,26,Mids,,,,,
3/27/13,2013,3,27,Day,,,,,
3/27/13,2013,3,27,Swings,,,,,
3/27/13,2013,3,27,Mids,,,,,
3/28/13,2013,3,28,Day,,,,,
3/28/13,2013,3,28,Swings,,,,,
3/28/13,2013,3,28,Mids,,,,,
3/29/13,2013,3,29,Day,,,,,
3/29/13,2013,3,29,Swings,,,,,
3/29/13,2013,3,29,Mids,,,,,
3/30/13,2013,3,30,Day,,,,,
3/30/13,2013,3,30,Swings,,,,,
3/30/13,2013,3,30,Mids,,,,,
3/31/13,2013,3,31,Day,,,,,
3/31/13,2013,3,31,Swings,,,,,
3/31/13,2013,3,31,Mids,,,,,
4/1/13,2013,4,1,Day,,,,,
4/1/13,2013,4,1,Swings,,,,,
4/1/13,2013,4,1,Mids,,,,,
4/2/13,2013,4,2,Day,,,,,
4/2/13,2013,4,2,Swings,,,,,
4/2/13,2013,4,2,Mids,,,,,
4/3/13,2013,4,3,Day,,,,,
4/3/13,2013,4,3,Swings,,,,,
4/3/13,2013,4,3,Mids,,,,,
4/4/13,2013,4,4,Day,,,,,
4/4/13,2013,4,4,Swings,,,,,
4/4/13,2013,4,4,Mids,,,,,
4/5/13,2013,4,5,Day,,,,,
4/5/13,2013,4,5,Swings,,,,,
4/5/13,2013,4,5,Mids,,,,,
4/6/13,2013,4,6,Day,,,,,
4/6/13,2013,4,6,Swings,,,,,
4/6/13,2013,4,6,Mids,,,,,
4/7/13,2013,4,7,Day,,,,,
4/7/13,2013,4,7,Swings,,,,,
4/7/13,2013,4,7,Mids,,,,,
4/8/13,2013,4,8,Day,,,,,
4/8/13,2013,4,8,Swings,,,,,
4/8/13,2013,4,8,Mids,,,,,
4/9/13,2013,4,9,Day,,,,,
4/9/13,2013,4,9,Swings,,,,,
4/9/13,2013,4,9,Mids,,,,,
4/10/13,2013,4,10,Day,,,,,
4/10/13,2013,4,10,Swings,,,,,
4/10/13,2013,4,10,Mids,,,,,
4/11/13,2013,4,11,Day,,,,,
4/11/13,2013,4,11,Swings,,,,,
4/11/13,2013,4,11,Mids,,,,,
4/12/13,2013,4,12,Day,,,,,
4/12/13,2013,4,12,Swings,,,,,
4/12/13,2013,4,12,Mids,,,,,
4/13/13,2013,4,13,Day,,,,,
4/13/13,2013,4,13,Swings,,,,,
4/13/13,2013,4,13,Mids,,,,,
4/14/13,2013,4,14,Day,,,,,
4/14/13,2013,4,14,Swings,,,,,
4/14/13,2013,4,14,Mids,,,,,
4/15/13,2013,4,15,Day,,,,,
4/15/13,2013,4,15,Swings,,,,,
4/15/13,2013,4,15,Mids,,,,,
4/16/13,2013,4,16,Day,,,,,
4/16/13,2013,4,16,Swings,,,,,
4/16/13,2013,4,16,Mids,,,,,
4/17/13,2013,4,17,Day,,,,,
4/17/13,2013,4,17,Swings,,,,,
4/17/13,2013,4,17,Mids,,,,,
4/18/13,2013,4,18,Day,,,,,
4/18/13,2013,4,18,Swings,,,,,
4/18/13,2013,4,18,Mids,,,,,
4/19/13,2013,4,19,Day,,,,,
4/19/13,2013,4,19,Swings,,,,,
4/19/13,2013,4,19,Mids,,,,,
4/20/13,2013,4,20,Day,,,,,
4/20/13,2013,4,20,Swings,,,,,
4/20/13,2013,4,20,Mids,,,,,
4/21/13,2013,4,21,Day,,,,,
4/21/13,2013,4,21,Swings,,,,,
4/21/13,2013,4,21,Mids,,,,,
4/22/13,2013,4,22,Day,,,,,
4/22/13,2013,4,22,Swings,,,,,
4/22/13,2013,4,22,Mids,,,,,
4/23/13,2013,4,23,Day,,,,,
4/23/13,2013,4,23,Swings,,,,,
4/23/13,2013,4,23,Mids,,,,,
4/24/13,2013,4,24,Day,,,,,
4/24/13,2013,4,24,Swings,,,,,
4/24/13,2013,4,24,Mids,,,,,
4/25/13,2013,4,25,Day,,,,,
4/25/13,2013,4,25,Swings,,,,,
4/25/13,2013,4,25,Mids,,,,,
4/26/13,2013,4,26,Day,,,,,
4/26/13,2013,4,26,Swings,,,,,
4/26/13,2013,4,26,Mids,,,,,
4/27/13,2013,4,27,Day,,,,,
4/27/13,2013,4,27,Swings,,,,,
4/27/13,2013,4,27,Mids,,,,,
4/28/13,2013,4,28,Day,,,,,
4/28/13,2013,4,28,Swings,,,,,
4/28/13,2013,4,28,Mids,,,,,
4/29/13,2013,4,29,Day,,,,,
4/29/13,2013,4,29,Swings,,,,,
4/29/13,2013,4,29,Mids,,,,,
4/30/13,2013,4,30,Day,,,,,
4/30/13,2013,4,30,Swings,,,,,
4/30/13,2013,4,30,Mids,,,,,
5/1/13,2013,5,1,Day,,,,,
5/1/13,2013,5,1,Swings,,,,,
5/1/13,2013,5,1,Mids,,,,,
5/2/13,2013,5,2,Day,,,,,
5/2/13,2013,5,2,Swings,,,,,
5/2/13,2013,5,2,Mids,,,,,
5/3/13,2013,5,3,Day,,,,,
5/3/13,2013,5,3,Swings,,,,,
5/3/13,2013,5,3,Mids,,,,,
5/4/13,2013,5,4,Day,,,,,
5/4/13,2013,5,4,Swings,,,,,
5/4/13,2013,5,4,Mids,,,,,
